date,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median ('91-'20),Median (POR),Median Peak SWE
10-21,0.0,1.0,0.0,0.0,2.0,0.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.4,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.5,4.6,0.0,0.0,49.6
10-22,0.0,1.0,0.0,0.0,2.0,1.3,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,4.9,0.0,0.0,49.6
10-23,0.0,0.8,0.1,0.0,2.0,1.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.72,5.2,0.0,0.0,49.6
10-24,0.0,0.7,0.0,0.0,2.1,1.3,0.7,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.2,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.2,0.0,0.0,0.0,0.0,0.0,1.3,5.7,0.0,0.0,49.6
10-25,0.0,0.7,0.0,0.0,2.2,1.3,0.7,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.7,0.0,0.1,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.2,0.0,0.0,0.0,0.0,0.04,2.02,6.5,0.0,0.0,49.6
10-26,0.0,0.0,1.3,0.0,2.2,1.1,0.7,0.0,0.0,3.2,0.0,2.3,0.0,0.0,0.0,0.0,0.4,0.0,0.9,0.0,0.9,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,6.9,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,6.2,0.0,0.3,0.0,0.0,0.0,0.34,2.28,6.9,0.0,0.0,49.6
10-27,0.0,0.0,1.3,0.0,2.2,1.1,0.8,0.0,0.0,3.2,0.0,4.5,0.0,0.0,0.0,0.0,0.5,0.0,0.8,0.0,1.7,0.0,0.0,0.0,6.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,0.0,0.3,0.0,0.0,0.0,0.08,3.0,6.8,0.0,0.0,49.6
10-28,0.0,1.9,1.3,0.0,2.2,0.9,0.7,0.0,0.0,3.2,0.0,4.1,0.0,0.0,0.0,0.0,0.8,0.0,0.4,0.0,1.7,0.0,0.0,0.0,6.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,6.7,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,0.0,0.2,0.0,0.0,0.0,0.28,3.0,6.7,0.0,0.0,49.6
10-29,0.0,4.5,1.6,0.0,2.2,0.9,0.7,0.0,0.0,3.2,0.0,3.8,0.6,0.0,0.0,0.0,0.8,0.0,0.4,0.0,2.7,0.0,0.0,0.0,6.4,0.0,0.0,0.0,0.0,0.0,0.1,0.0,6.4,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,0.0,0.0,0.0,0.0,0.0,0.64,3.68,6.4,0.0,0.0,49.6
10-30,0.0,4.5,2.5,0.0,2.2,0.9,0.4,0.0,0.0,3.2,0.0,3.5,2.8,0.0,0.0,0.0,1.8,0.0,0.3,0.0,3.7,0.0,0.0,0.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,0.6,3.66,6.4,0.0,0.0,49.6
10-31,0.0,4.6,2.9,0.2,2.2,0.9,0.4,0.0,0.0,3.2,0.0,3.4,4.0,0.0,0.0,0.0,2.3,0.0,0.3,0.0,3.7,0.2,0.0,0.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,1.2,0.0,0.0,1.3,0.0,0.0,0.0,0.0,4.7,0.0,0.0,0.0,0.0,0.0,1.02,3.94,6.4,0.0,0.0,49.6
11-01,0.0,4.8,2.9,0.7,2.2,0.6,0.4,0.0,0.0,3.2,0.2,3.4,4.6,0.0,0.0,0.0,2.4,0.0,0.5,0.0,3.7,0.0,0.0,1.8,6.4,0.0,0.0,0.0,0.3,0.0,0.2,0.0,5.4,1.1,0.0,0.0,2.3,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,1.38,4.1,6.4,0.0,0.0,49.6
11-02,0.0,4.8,2.9,0.6,2.2,0.6,0.3,0.0,0.0,3.2,0.0,3.3,4.6,0.0,0.2,0.0,2.4,0.0,0.7,0.0,3.8,0.0,0.0,1.9,6.6,0.0,0.0,0.0,0.8,0.0,0.0,0.0,6.0,0.9,0.5,0.0,3.5,0.0,0.0,0.0,0.0,4.1,1.2,0.0,0.0,0.0,0.0,1.48,4.04,6.6,0.0,0.2,49.6
11-03,0.0,4.8,2.9,0.6,2.8,0.6,0.3,0.0,0.0,3.2,0.0,3.3,4.5,0.0,0.2,0.0,2.4,0.0,0.9,0.0,3.8,0.0,0.0,2.8,6.7,0.0,0.0,0.0,1.1,0.0,0.0,0.1,5.8,0.7,0.5,1.0,3.5,0.0,0.0,0.0,0.0,3.5,1.9,0.0,0.0,0.0,0.0,2.1,3.74,6.7,0.0,0.3,49.6
11-04,0.0,4.8,2.9,0.3,2.9,0.5,0.4,0.4,0.0,3.2,0.2,3.3,4.5,0.0,0.4,0.0,2.4,0.0,0.9,0.0,3.8,0.0,0.0,3.0,7.5,0.0,0.0,0.0,3.6,0.0,0.0,1.6,5.7,0.4,0.5,1.0,3.5,0.5,0.0,0.0,0.0,2.8,1.9,0.0,0.0,0.0,0.0,2.56,3.76,7.5,0.4,0.4,49.6
11-05,0.0,4.7,2.9,0.0,2.9,0.4,0.4,0.3,0.0,3.2,0.3,3.3,4.5,0.0,0.7,0.0,2.4,0.0,0.9,0.0,3.9,0.0,0.0,3.3,7.7,0.2,0.0,0.0,3.7,0.0,0.0,1.6,5.4,0.4,0.5,1.0,3.4,2.9,0.0,0.0,0.0,2.2,2.1,0.0,0.0,0.0,0.0,2.6,3.86,7.7,0.4,0.4,49.6
11-06,0.0,4.6,2.9,0.0,3.2,0.4,0.4,0.3,0.0,3.2,0.3,3.3,4.4,0.0,4.9,0.0,2.4,0.0,0.9,0.0,3.9,0.0,0.0,3.3,7.8,0.5,0.0,0.0,3.7,0.0,0.0,1.9,5.2,0.4,0.4,1.1,3.2,3.0,0.0,0.0,0.0,2.1,2.3,0.0,0.0,0.0,0.0,2.94,4.3,7.8,0.4,0.4,49.6
11-07,0.0,4.6,2.8,0.0,3.6,0.4,0.4,0.3,0.0,3.2,0.3,3.2,4.4,0.0,7.1,0.0,2.4,0.0,1.3,0.0,3.9,0.0,0.0,3.7,7.8,0.2,0.0,0.0,3.7,0.2,0.0,2.0,4.6,0.4,0.0,1.1,2.9,3.1,0.0,0.0,0.0,2.1,2.4,1.2,0.0,0.0,0.0,2.84,4.3,7.8,0.4,0.4,49.6
11-08,0.7,4.6,2.7,0.2,4.3,0.4,0.7,0.3,0.0,3.2,0.4,3.2,4.4,0.0,7.3,0.0,2.4,0.0,2.3,0.4,3.9,0.0,2.9,4.0,7.9,0.1,0.0,0.0,3.7,0.2,2.9,2.1,4.0,0.3,0.0,1.1,2.6,3.1,0.0,0.0,0.1,2.0,4.1,1.5,0.0,0.0,0.2,2.98,4.26,7.9,1.6,1.1,49.6
11-09,0.7,4.4,3.4,0.3,4.7,0.4,0.7,0.0,0.1,3.2,0.4,2.5,4.4,0.0,7.3,0.0,2.4,0.0,2.8,0.6,4.0,0.0,6.8,4.0,7.7,0.0,0.1,0.0,3.9,0.2,2.7,2.1,5.0,0.2,0.0,1.3,2.1,3.1,0.0,0.0,0.7,2.3,5.8,1.5,0.0,0.0,0.2,3.14,4.94,7.7,1.7,1.3,49.6
11-10,0.7,4.4,4.1,0.7,4.8,1.8,0.7,0.0,0.4,3.2,0.4,2.0,4.4,0.0,7.9,0.0,2.4,0.0,2.9,0.4,4.0,0.0,8.1,5.2,7.6,0.0,0.1,0.0,4.0,0.2,2.6,2.1,5.0,0.1,0.0,1.9,1.5,4.7,0.0,0.0,0.7,4.0,6.5,1.5,0.0,0.0,0.32,4.0,5.16,8.1,1.7,1.8,49.6
11-11,0.7,4.4,4.1,2.8,5.9,3.4,0.8,0.0,0.9,3.2,0.4,1.9,4.4,0.0,8.0,0.0,2.4,0.0,3.7,0.2,4.5,0.0,10.8,5.2,7.6,0.0,0.1,0.0,4.0,0.2,3.3,2.1,5.5,0.0,0.0,1.9,1.0,4.7,0.0,0.0,0.8,3.9,6.6,1.5,0.0,0.0,0.2,3.94,5.82,10.8,1.4,1.9,49.6
11-12,0.7,4.4,4.1,2.8,6.2,3.8,0.8,0.0,0.9,3.2,0.4,1.9,4.4,0.7,8.0,0.0,2.0,0.0,3.8,0.0,4.5,0.0,11.4,5.2,7.6,0.0,0.3,0.2,3.9,0.2,3.3,2.1,5.5,0.0,0.0,1.9,0.4,4.7,0.0,0.0,0.8,3.9,6.7,1.5,0.0,0.0,0.36,3.9,6.06,11.4,1.3,1.9,49.6
11-13,0.7,7.7,4.2,3.2,6.8,3.8,0.9,0.0,1.8,3.0,0.4,1.8,4.4,0.7,8.4,0.0,1.7,0.0,4.2,0.0,4.5,1.3,11.3,5.2,7.7,0.0,0.4,0.9,3.7,0.7,3.3,2.1,5.4,0.0,0.0,1.9,0.0,4.7,0.0,0.0,0.9,3.7,6.8,1.5,0.0,0.0,0.7,3.96,6.8,11.3,1.5,1.8,49.6
11-14,0.7,8.6,4.2,4.1,8.9,3.8,1.1,1.4,4.8,3.0,0.1,1.5,4.4,0.7,8.4,0.0,0.7,0.3,4.3,0.0,4.5,1.4,11.2,5.2,7.9,0.0,1.2,0.1,3.3,0.7,3.3,2.1,5.3,0.0,0.0,1.9,0.0,5.7,0.0,0.0,2.5,3.6,6.8,1.4,0.0,0.0,0.7,4.24,7.68,11.2,1.3,2.1,49.6
11-15,0.7,9.0,4.2,4.1,9.1,3.9,1.1,1.4,4.8,3.0,0.0,1.5,4.4,0.7,8.5,0.0,0.5,0.5,4.3,0.0,4.5,1.4,11.2,5.6,8.1,0.0,1.0,0.0,3.0,0.7,3.1,2.3,5.3,0.0,0.0,1.9,0.0,5.8,0.0,0.0,2.5,3.3,6.8,1.4,0.0,0.0,0.7,4.24,7.84,11.2,1.2,2.3,49.6
11-16,0.7,9.1,4.2,4.5,9.2,3.9,1.1,1.5,4.8,3.0,0.0,1.5,4.4,1.0,8.7,0.0,0.5,0.6,4.3,0.0,4.5,1.3,11.3,5.7,8.1,0.0,0.9,0.0,2.9,0.7,2.9,2.3,5.3,0.0,0.0,2.8,0.0,8.8,0.0,0.0,2.5,3.0,6.8,1.5,0.0,0.0,0.7,4.34,8.58,11.3,1.2,2.5,49.6
11-17,0.7,9.5,4.2,6.6,9.2,3.9,1.2,1.6,5.7,3.0,0.0,2.4,4.4,1.1,8.7,0.0,1.5,0.7,4.3,0.9,4.5,1.2,11.0,5.6,8.1,0.0,0.9,0.0,2.7,0.7,2.9,2.3,5.7,0.0,0.2,2.8,0.0,12.6,0.0,0.0,2.5,2.6,6.8,1.8,0.0,0.0,0.9,4.34,8.58,12.6,1.4,2.5,49.6
11-18,0.7,9.5,5.6,8.3,9.7,4.1,1.2,1.9,6.1,3.0,0.0,4.3,4.4,1.1,11.0,0.0,3.4,0.7,4.7,1.2,4.8,1.2,10.9,5.8,8.1,0.0,0.9,0.0,2.5,0.7,2.8,2.4,8.0,0.0,0.4,2.8,0.0,12.9,0.0,0.0,2.5,2.5,6.8,1.8,0.0,0.0,1.02,4.74,9.26,12.9,1.8,2.5,49.6
11-19,0.7,9.5,8.8,8.5,9.7,4.1,0.9,2.0,6.2,3.0,0.0,4.7,4.4,1.1,11.0,0.0,2.0,2.0,4.8,1.4,5.0,1.2,11.1,5.8,8.1,0.0,0.9,0.0,2.3,0.7,2.7,2.4,9.7,0.0,0.4,2.8,0.0,13.0,0.0,0.0,5.0,2.5,6.8,3.2,0.0,0.0,1.02,5.0,9.66,13.0,2.0,2.5,49.6
11-20,0.7,9.3,9.4,9.4,9.7,4.1,0.9,2.0,6.3,3.0,0.5,4.9,4.6,1.1,11.2,0.0,2.6,2.8,5.0,2.7,5.0,1.0,11.1,5.8,8.1,0.0,0.8,0.0,2.1,0.7,3.7,2.6,10.4,0.6,0.6,2.8,1.0,13.0,0.0,0.0,5.0,2.3,6.8,3.2,0.0,0.1,1.0,5.0,9.64,13.0,2.6,2.8,49.6
11-21,0.7,9.3,9.4,10.3,9.8,4.1,0.9,2.2,6.3,3.0,0.5,5.1,4.6,1.1,11.2,0.0,2.4,3.1,5.0,3.2,5.0,0.9,11.1,5.8,8.1,0.0,0.8,0.0,2.0,1.4,5.2,3.1,10.7,1.3,0.7,2.8,2.2,12.3,0.0,0.0,5.0,2.2,6.8,3.2,0.0,0.1,1.36,5.14,10.2,12.3,2.6,3.1,49.6
11-22,0.7,12.6,9.9,10.6,10.1,4.1,0.8,2.2,7.0,3.0,0.7,5.1,4.9,1.1,11.2,0.0,2.8,3.2,5.1,3.2,5.0,2.5,10.7,5.8,8.1,0.0,0.8,0.0,2.0,1.4,7.5,3.4,11.8,1.3,0.8,2.8,2.5,11.7,0.6,0.0,5.0,2.2,6.7,3.2,0.0,0.62,1.76,5.38,10.68,12.6,2.8,3.2,49.6
11-23,0.7,13.4,10.5,10.8,10.8,4.1,0.8,2.2,11.0,3.0,1.0,5.2,5.1,2.5,11.2,0.0,4.5,3.2,5.3,3.2,5.0,2.8,10.6,5.8,8.1,0.0,0.8,0.0,1.9,1.4,7.6,3.0,11.8,1.3,0.8,2.7,2.7,10.9,3.9,0.0,5.0,2.2,6.7,3.2,0.0,0.72,2.2,5.5,10.88,13.4,3.1,3.2,49.6
11-24,0.7,13.9,10.5,11.7,10.8,6.2,0.8,2.2,13.6,3.0,1.0,5.2,5.1,2.5,11.2,0.0,4.7,3.2,6.3,3.2,5.0,3.0,10.6,5.8,8.1,0.0,1.3,0.0,1.7,1.4,11.3,2.9,12.0,1.3,0.8,2.7,3.3,10.0,7.6,0.0,5.0,2.2,6.7,3.2,0.0,0.72,2.2,6.46,11.28,13.9,3.2,3.3,49.6
11-25,1.4,13.9,10.5,13.3,11.7,7.4,1.2,2.2,13.6,3.9,1.0,5.3,5.3,2.5,11.2,0.0,4.8,4.5,7.1,3.5,5.0,6.2,10.6,5.8,8.1,0.0,1.3,0.0,1.7,1.4,11.3,2.7,12.0,1.5,0.8,3.4,3.9,9.7,7.5,0.0,5.0,2.2,6.7,,0.0,0.84,2.2,7.22,11.62,13.9,4.2,4.8,49.6
11-26,1.4,13.9,10.5,13.6,11.9,7.4,1.2,2.2,15.9,7.0,1.2,5.3,5.3,2.5,16.0,0.2,4.8,5.0,7.4,3.7,5.0,6.4,10.6,5.8,8.3,0.9,1.3,0.0,1.7,1.4,11.3,2.7,12.0,1.5,0.8,3.8,3.9,9.7,7.5,0.0,5.0,2.2,6.7,,0.0,0.96,2.2,7.4,11.98,16.0,4.4,5.0,49.6
11-27,1.4,14.7,10.5,13.9,12.0,7.5,1.2,2.4,16.0,7.2,1.2,5.3,5.3,2.7,16.2,0.4,4.8,6.9,7.4,3.4,5.0,6.6,10.6,5.8,8.4,0.9,2.0,0.0,2.1,1.4,11.3,2.4,11.7,1.5,0.8,4.1,4.2,10.7,7.5,1.9,5.0,2.2,6.6,,0.0,1.2,2.32,7.44,11.94,16.2,4.5,5.0,49.6
11-28,1.4,15.5,11.2,13.9,15.5,8.0,1.2,2.4,16.3,7.5,1.3,5.8,5.3,2.7,16.4,0.6,4.8,6.9,7.4,3.4,4.8,6.8,10.6,5.8,9.9,1.3,3.1,0.0,1.8,1.9,12.7,2.3,11.6,1.5,0.8,4.1,4.4,11.3,7.9,3.6,5.1,2.0,6.6,,0.0,1.3,2.58,7.66,13.66,16.4,4.6,5.1,49.6
11-29,1.4,15.6,13.0,14.0,15.5,8.5,1.4,2.6,16.5,7.8,1.5,5.8,5.3,3.3,16.4,0.6,4.8,6.9,7.8,3.4,4.7,7.9,10.6,6.0,9.9,3.5,3.1,0.0,1.8,1.9,12.7,2.3,12.2,1.5,1.0,4.1,4.5,11.3,9.1,4.1,5.1,1.7,6.6,,0.0,1.42,3.22,8.14,13.8,16.5,4.6,5.1,49.6
11-30,1.4,15.7,16.3,14.0,15.5,9.4,1.5,2.6,16.6,8.0,1.5,5.8,5.3,4.9,16.4,0.6,4.8,6.9,10.9,3.2,5.5,9.2,10.6,5.7,10.4,4.1,3.1,0.0,1.8,1.9,12.7,2.1,13.0,1.5,2.2,4.1,4.6,11.3,10.5,4.1,5.1,1.5,6.6,,0.0,1.5,3.16,9.8,15.2,16.6,4.8,5.3,49.6
12-01,1.5,16.0,18.1,14.0,15.7,10.4,2.0,3.0,16.6,8.0,1.5,5.9,5.3,5.1,16.5,0.6,5.3,6.9,14.8,3.5,5.5,9.4,10.6,5.7,10.4,4.7,3.1,0.0,1.8,2.0,12.7,2.1,16.3,1.5,3.4,4.1,4.6,11.4,10.5,4.9,5.1,1.4,6.6,,0.0,1.5,3.46,10.4,15.94,18.1,5.2,5.3,49.6
12-02,1.8,16.3,18.1,14.3,15.7,11.3,2.0,3.6,16.8,8.0,1.5,6.0,5.4,5.2,16.7,0.3,7.0,6.9,15.0,3.5,5.6,13.3,10.6,6.3,10.4,10.4,3.1,0.0,1.6,2.0,12.7,2.1,18.0,1.5,3.7,4.1,4.6,11.4,11.0,7.5,5.1,1.4,8.2,,0.0,1.52,3.66,10.76,16.18,18.1,5.8,6.3,49.6
